Step,Loss,LearningRate,Epoch,StepDuration_Seconds
2070,5.0434,6.86e-06,42,1.0260
2080,5.0369,6.84e-06,42,1.1777
2090,5.0307,6.81e-06,42,0.9859
2100,5.5251,6.78e-06,43,1.1748
2110,5.0267,6.75e-06,43,1.1006
2120,5.1052,6.72e-06,43,1.0852
2130,5.0719,6.70e-06,43,1.0628
2140,5.0204,6.67e-06,43,1.1100
2150,4.8694,6.64e-06,44,1.0881
2160,5.0246,6.61e-06,44,1.1452
2170,4.7890,6.59e-06,44,1.0957
2180,4.8635,6.56e-06,44,1.0975
2190,4.8204,6.53e-06,44,1.0718
2200,4.8998,6.50e-06,45,1.0872
2210,5.2290,6.47e-06,45,1.1054
2220,4.5960,6.45e-06,45,1.0045
2230,4.9734,6.42e-06,45,1.0226
2240,4.6230,6.39e-06,45,1.1272
2250,4.7886,6.36e-06,46,1.0985
2260,5.0173,6.33e-06,46,1.0808
2270,4.8582,6.30e-06,46,1.0909
2280,4.6815,6.28e-06,46,1.1074
2290,4.7305,6.25e-06,46,1.0630
2300,4.9345,6.22e-06,47,1.0511
2310,4.7177,6.19e-06,47,1.0998
2320,4.8545,6.16e-06,47,1.0411
2330,4.8237,6.13e-06,47,1.1104
2340,4.7140,6.10e-06,47,1.0049
2350,5.1283,6.08e-06,48,1.1415
2360,4.8968,6.05e-06,48,1.1136
2370,4.4929,6.02e-06,48,1.1028
2380,4.8197,5.99e-06,48,1.1391
2390,4.6875,5.96e-06,48,1.1733
2400,4.9098,5.93e-06,49,1.1407
2410,4.6582,5.90e-06,49,0.9980
2420,4.7551,5.87e-06,49,1.0260
2430,4.8433,5.85e-06,49,1.0588
2440,4.8927,5.82e-06,49,1.0913
2450,4.5781,5.79e-06,50,1.1159
2460,4.7034,5.76e-06,50,1.0537
2470,4.6777,5.73e-06,50,1.0993
2480,4.6464,5.70e-06,50,1.0522
2490,5.0047,5.67e-06,50,1.0594
2500,4.7962,5.64e-06,51,1.0197
2510,4.5418,5.62e-06,51,1.0438
2520,4.8642,5.59e-06,51,1.0224
2530,5.0405,5.56e-06,51,1.0412
2540,4.8727,5.53e-06,51,1.1427
2550,4.4857,5.50e-06,52,1.0425
2560,4.6367,5.47e-06,52,1.2216
2570,4.8951,5.44e-06,52,1.1147
2580,4.5947,5.41e-06,52,1.0992
2590,4.7633,5.38e-06,52,1.0471
2600,4.8088,5.36e-06,53,1.1250
2610,4.5495,5.33e-06,53,1.0612
2620,4.6755,5.30e-06,53,1.0961
2630,4.1943,5.27e-06,53,1.2180
2640,4.5228,5.24e-06,53,1.0852
2650,4.6346,5.21e-06,54,1.1475
2660,4.4814,5.18e-06,54,1.0548
2670,4.9096,5.15e-06,54,1.0883
2680,4.4463,5.13e-06,54,1.1785
2690,4.5910,5.10e-06,54,1.0587
2700,4.6728,5.07e-06,55,1.1806
2710,4.8656,5.04e-06,55,1.1254
2720,4.4303,5.01e-06,55,1.0619
2730,4.8165,4.98e-06,55,1.1216
2740,4.6399,4.95e-06,55,1.1386
2750,4.4875,4.92e-06,56,1.1211
2760,4.7004,4.90e-06,56,1.0115
2770,4.6574,4.87e-06,56,1.0536
2780,4.5340,4.84e-06,56,1.0776
2790,4.6309,4.81e-06,56,1.0863
2800,4.5592,4.78e-06,57,1.1210
2810,4.6305,4.75e-06,57,1.0989
